Language	Language (local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Pangasinan	Pangasinan	pag	2,556	7,364	58,105	0	5,330	9	0	27.92
Pali	पालि	pi	2,528	4,426	96,099	0	4,654	8	0	12.24
Avar	авар	av	2,306	9,017	67,397	0	9,448	21	0	63.3
Hawaiian	Hawaiʻi	haw	2,225	4,388	74,772	0	9,748	18	0	16.1
Buryat	буряад	bxr	2,092	7,651	52,921	1	9,740	14	0	48.84
Palatinate German	Pälzisch	pfl	2,079	5,277	63,197	5	6,991	12	0	28.34
Kalmyk	хальмг	xal	2,037	10,290	80,022	2	7,053	17	0	127.65
Karachay-Balkar	къарачай-малкъар	krc	2,025	13,475	103,515	1	7,027	12	0	245.6
Papiamentu	Papiamentu	pap	1,929	4,640	71,198	1	8,223	17	0	30.31
Karakalpak	Qaraqalpaqsha	kaa	1,906	4,769	42,048	1	7,476	13	0	19.89
Kinyarwanda	Kinyarwanda	rw	1,821	5,095	71,210	0	7,305	9	0	45.18
Pennsylvania German	Deitsch	pdc	1,811	5,513	101,823	0	22,552	14	0	77.18
Banjar	Bahasa Banjar	bjn	1,799	13,202	58,481	1	8,376	20	1	177.97
Hausa	Hausa	ha	1,741	4,636	36,458	0	7,398	24	0	21.74
Tongan	lea faka-Tonga	to	1,691	4,961	39,267	1	5,745	10	11	29.6
Novial	Novial	nov	1,655	4,438	174,223	2	7,498	15	0	111.01
Greenlandic	kalaallisut	kl	1,654	3,944	71,541	2	9,019	16	0	34.77
Aramaic	ܐܪܡܝܐ	arc	1,626	5,908	92,601	1	14,188	15	0	108.7
Jamaican Patois	Patois	jam	1,623	2,830	19,187	0	3,352	18	0	3.75
Kabardian	Адыгэбзэ	kbd	1,576	6,601	41,809	0	6,500	15	0	64.39
Tuvan	тыва дыл	tyv	1,551	5,496	26,065	0	4,914	21	0	30.68
Tok Pisin	Tok Pisin	tpi	1,484	5,641	83,818	0	8,387	14	0	116.59
Kabiye	Kabɩyɛ	kbp	1,455	2,682	12,633	1	1,424	13	0	——
Tetum	tetun	tet	1,420	3,497	61,127	1	6,260	14	0	37.4
Kikuyu	Gĩkũyũ	ki	1,357	2,861	19,236	0	4,875	5	0	8.26
Igbo	Igbo	ig	1,294	5,331	61,762	1	8,367	20	0	112.76
Nauruan	Dorerin Naoero	na	1,292	4,086	80,430	1	7,016	10	0	92.06
Lojban	la .lojban.	jbo	1,218	5,516	108,411	2	10,751	10	0	244.73
Lak	лакку	lbe	1,216	11,153	43,933	0	6,022	10	0	263.05
Aromanian	armãneashti	roa-rup	1,210	3,818	198,018	1	10,193	13	0	240.94
Tahitian	reo tahiti	ty	1,195	2,812	51,810	0	5,211	9	0	33.74
Moksha	мокшень	mdf	1,185	5,002	48,989	2	6,279	11	0	101.62
Zhuang	Vahcuengh	za	1,179	2,949	36,683	0	6,876	11	0	28.04
Kongo	Kongo	kg	1,178	2,754	42,384	1	6,790	8	0	27.55
Bislama	Bislama	bi	1,166	2,844	37,530	0	7,344	12	0	——
Wolof	Wolof	wo	1,165	4,465	99,214	2	10,297	13	0	178.29
Luganda	Luganda	lg	1,161	4,203	23,838	0	4,602	9	0	38.94
Sranan	Sranantongo	srn	1,061	2,632	37,772	0	5,108	11	0	31.46
Tulu	ತುಳು	tcy	928	2,677	37,338	1	2,056	18	0	——
Zulu	isiZulu	zu	899	4,236	47,505	0	10,639	15	0	154.52
Cherokee	ᏣᎳᎩ	chr	838	3,544	42,583	1	12,629	14	0	125.29
Latgalian	latgaļu	ltg	803	2,687	32,198	0	4,592	6	0	65.96
Samoan	Gagana Samoa	sm	797	2,849	38,631	0	5,354	9	0	89.88
Oromo	Oromoo	om	765	3,132	30,506	0	5,549	9	0	93.25
Xhosa	isiXhosa	xh	739	3,100	29,235	0	7,155	13	0	96.26
Romani	Romani	rmy	659	2,526	46,934	0	12,208	13	0	149.13
Bambara	bamanankan	bm	646	2,502	37,920	0	7,277	9	0	——
Old Church Slavonic	словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ	cu	643	4,604	75,152	1	16,721	23	0	619.43
Tswana	Setswana	tn	639	2,669	21,813	1	5,897	11	0	82.48
Norfolk	Norfuk / Pitkern	pih	631	2,604	37,833	0	7,045	13	0	——
Kirundi	Kirundi	rn	611	1,963	19,521	0	5,269	6	0	——
Cheyenne	Tsetsêhestâhese	chy	611	2,158	23,113	0	7,516	11	0	68.66
Twi	Twi	tw	604	1,902	17,858	0	7,687	10	0	43.36
Tumbuka	chiTumbuka	tum	562	1,878	21,364	0	4,309	6	0	62.38
Tsonga	Xitsonga	ts	561	2,594	31,013	1	5,657	12	0	——
Akan	Akan	ak	555	2,343	19,857	0	7,338	7	0	——
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got	548	3,120	38,990	1	12,394	13	0	——
Sesotho	Sesotho	st	539	2,167	23,061	0	6,278	10	0	——
Atikamekw	Atikamekw	atj	494	1,277	9,349	4	1,225	72	0	——
Pontic	Ποντιακά	pnt	458	1,941	33,612	0	6,664	15	0	——
Swati	SiSwati	ss	438	2,087	35,882	2	5,301	9	0	——
Chamorro	Chamoru	ch	434	2,293	20,189	0	10,271	10	0	——
Fijian	Na Vosa Vakaviti	fj	423	1,969	30,804	0	5,510	7	0	——
Adyghe	адыгабзэ	ady	408	1,331	7,464	1	2,671	11	0	——
Inuktitut	ᐃᓄᒃᑎᑐᑦ/inuktitut	iu	406	2,858	41,818	1	11,716	12	0	——
Chichewa	Chi-Chewa	ny	384	1,817	17,546	1	5,057	9	0	——
Ewe	eʋegbe	ee	345	2,625	47,847	1	9,319	7	0	——
Kashmiri	कॉशुर / کٲشُر	ks	317	1,599	32,422	0	6,168	11	0	——
Inupiak	Iñupiak	ik	260	2,268	35,026	0	5,435	5	0	——
Venda	Tshivenda	ve	256	1,618	16,713	0	4,352	7	0	——
Sango	Sängö	sg	255	1,605	19,316	0	4,282	8	0	——
Fula	Fulfulde	ff	227	1,745	20,954	0	5,369	9	0	——
Dzongkha	ཇོང་ཁ	dz	222	1,786	26,729	0	6,301	7	0	——
Tigrinya	ትግርኛ	ti	166	1,606	19,211	0	5,606	8	0	——
Cree	Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ	cr	131	2,171	33,491	1	10,028	12	0	——
Dinka	Thuɔŋjäŋ	din	65	491	2,532	0	1,440	16	0	——
Ndonga	Oshiwambo	ng	8	442	5,918	0	1,754	0	0	——
Choctaw	Choctaw	cho	6	200	4,217	0	1,410	0	0	——
Kuanyama	Kwanyama	kj	4	113	3,547	0	1,139	0	0	——
Marshallese	Ebon	mh	4	205	4,211	0	1,742	0	0	——
Hiri Motu	Hiri Motu	ho	3	128	3,785	0	1,277	0	0	——
Nuosu	ꆇꉙ	ii	3	188	11,652	0	1,545	0	0	——
Afar	Qafár af	aa	1	509	7,537	0	3,246	0	0	——
Muscogee	Mvskoke	mus	1	114	3,600	0	1,629	0	0	——
Herero	Otsiherero	hz	0	175	4,480	0	3,080	0	0	——
Kanuri	Kanuri	kr	0	161	4,640	0	4,403	0	0	——
